Typ,Anzahl Items,Bin-Kapazitaet,LB,Hill Climbing,First Fit Descending,Abs. LB HC,Abs. LB FFD,Zeit HC (sec),Zeit FFD (sec)
triplet,501,1000.0,167.0,175.0,191.0,8.0,24.0,5.89,0.05
triplet,501,1000.0,167.0,176.0,189.0,9.0,22.0,5.82,0.05
triplet,501,1000.0,167.0,176.0,191.0,9.0,24.0,5.87,0.05
triplet,501,1000.0,167.0,175.0,190.0,8.0,23.0,5.92,0.05
triplet,501,1000.0,167.0,176.0,190.0,9.0,23.0,5.77,0.05
triplet,501,1000.0,167.0,175.0,190.0,8.0,23.0,5.66,0.05
triplet,501,1000.0,167.0,174.0,190.0,7.0,23.0,6.12,0.05
triplet,501,1000.0,167.0,174.0,190.0,7.0,23.0,5.71,0.05
triplet,501,1000.0,167.0,173.0,189.0,6.0,22.0,5.92,0.06
triplet,501,1000.0,167.0,176.0,191.0,9.0,24.0,5.67,0.05
triplet,501,1000.0,167.0,176.0,191.0,9.0,24.0,5.64,0.05
uniform,120,150.0,49.0,49.0,49.0,0.0,0.0,0.01,0.0
uniform,120,150.0,49.0,49.0,50.0,0.0,1.0,0.59,0.0
uniform,120,150.0,52.0,52.0,52.0,0.0,0.0,0.02,0.01
uniform,120,150.0,52.0,52.0,53.0,0.0,1.0,0.57,0.0
uniform,120,150.0,48.0,48.0,49.0,0.0,1.0,0.62,0.0
uniform,120,150.0,50.0,50.0,50.0,0.0,0.0,0.02,0.0
uniform,120,150.0,50.0,51.0,51.0,1.0,1.0,0.62,0.0
uniform,120,150.0,49.0,50.0,50.0,1.0,1.0,0.61,0.0
uniform,120,150.0,46.0,46.0,47.0,0.0,1.0,0.58,0.0
uniform,120,150.0,48.0,48.0,49.0,0.0,1.0,0.65,0.0
uniform,120,150.0,48.0,48.0,49.0,0.0,1.0,0.61,0.0
uniform,120,150.0,49.0,49.0,50.0,0.0,1.0,0.59,0.0
uniform,120,150.0,49.0,49.0,50.0,0.0,1.0,0.57,0.0
uniform,120,150.0,49.0,49.0,50.0,0.0,1.0,0.67,0.0
uniform,120,150.0,48.0,49.0,49.0,1.0,1.0,0.68,0.0
uniform,120,150.0,52.0,52.0,52.0,0.0,0.0,0.01,0.01
uniform,120,150.0,48.0,48.0,49.0,0.0,1.0,0.64,0.0
uniform,120,150.0,46.0,46.0,47.0,0.0,1.0,0.64,0.0
uniform,120,150.0,49.0,49.0,49.0,0.0,0.0,0.02,0.0
uniform,120,150.0,50.0,50.0,50.0,0.0,0.0,0.01,0.0
uniform,250,150.0,100.0,100.0,101.0,0.0,1.0,1.21,0.01
uniform,250,150.0,97.0,97.0,99.0,0.0,2.0,2.18,0.01
uniform,250,150.0,103.0,104.0,105.0,1.0,2.0,2.12,0.01
uniform,250,150.0,101.0,101.0,102.0,0.0,1.0,1.94,0.01
uniform,250,150.0,105.0,106.0,107.0,1.0,2.0,1.92,0.02
uniform,250,150.0,105.0,106.0,107.0,1.0,2.0,2.06,0.01
uniform,250,150.0,102.0,103.0,104.0,1.0,2.0,2.0,0.01
uniform,250,150.0,100.0,100.0,102.0,0.0,2.0,1.95,0.01
uniform,250,150.0,100.0,100.0,101.0,0.0,1.0,2.11,0.01
uniform,250,150.0,105.0,105.0,106.0,0.0,1.0,1.99,0.01
uniform,250,150.0,100.0,100.0,101.0,0.0,1.0,2.03,0.01
uniform,250,150.0,102.0,102.0,103.0,0.0,1.0,2.09,0.01
uniform,250,150.0,101.0,102.0,104.0,1.0,3.0,2.01,0.01
uniform,250,150.0,101.0,101.0,102.0,0.0,1.0,1.93,0.01
uniform,250,150.0,102.0,102.0,104.0,0.0,2.0,2.03,0.01
uniform,250,150.0,99.0,99.0,100.0,0.0,1.0,1.89,0.01
uniform,250,150.0,102.0,102.0,103.0,0.0,1.0,2.02,0.01
uniform,250,150.0,101.0,102.0,103.0,1.0,2.0,2.02,0.01
uniform,250,150.0,100.0,100.0,101.0,0.0,1.0,2.05,0.01
uniform,250,150.0,105.0,106.0,107.0,1.0,2.0,1.98,0.01
uniform,500,150.0,207.0,208.0,210.0,1.0,3.0,4.12,0.03
uniform,500,150.0,198.0,199.0,201.0,1.0,3.0,5.68,0.06
uniform,500,150.0,196.0,196.0,199.0,0.0,3.0,6.45,0.05
uniform,500,150.0,201.0,201.0,204.0,0.0,3.0,6.59,0.05
uniform,500,150.0,202.0,202.0,205.0,0.0,3.0,6.54,0.05
uniform,500,150.0,204.0,204.0,206.0,0.0,2.0,6.47,0.05
uniform,500,150.0,199.0,200.0,202.0,1.0,3.0,6.49,0.06
uniform,500,150.0,204.0,205.0,207.0,1.0,3.0,6.22,0.05
uniform,500,150.0,202.0,202.0,204.0,0.0,2.0,6.83,0.06
uniform,500,150.0,204.0,205.0,207.0,1.0,3.0,6.72,0.05
uniform,500,150.0,198.0,198.0,201.0,0.0,3.0,6.66,0.05
uniform,500,150.0,200.0,201.0,203.0,1.0,3.0,6.65,0.05
uniform,500,150.0,201.0,202.0,204.0,1.0,3.0,6.77,0.06
uniform,500,150.0,200.0,200.0,202.0,0.0,2.0,6.6,0.05
uniform,500,150.0,196.0,196.0,198.0,0.0,2.0,6.86,0.05
uniform,500,150.0,206.0,206.0,209.0,0.0,3.0,6.52,0.05
uniform,500,150.0,196.0,196.0,199.0,0.0,3.0,6.47,0.06
uniform,500,150.0,202.0,202.0,205.0,0.0,3.0,6.71,0.06
uniform,500,150.0,206.0,206.0,207.0,0.0,1.0,6.67,0.06
uniform,500,150.0,202.0,202.0,205.0,0.0,3.0,6.42,0.05
uniform,1000,150.0,399.0,399.0,404.0,0.0,5.0,24.45,0.22
uniform,1000,150.0,399.0,400.0,404.0,1.0,5.0,24.19,0.23
uniform,1000,150.0,394.0,395.0,400.0,1.0,6.0,24.24,0.22
uniform,1000,150.0,395.0,395.0,399.0,0.0,4.0,23.26,0.21
uniform,1000,150.0,393.0,393.0,398.0,0.0,5.0,23.62,0.23
uniform,1000,150.0,411.0,412.0,416.0,1.0,5.0,23.74,0.24
uniform,1000,150.0,411.0,411.0,416.0,0.0,5.0,24.93,0.23
uniform,1000,150.0,404.0,405.0,409.0,1.0,5.0,24.19,0.23
uniform,1000,150.0,396.0,396.0,401.0,0.0,5.0,24.15,0.23
uniform,1000,150.0,399.0,399.0,403.0,0.0,4.0,23.59,0.24
uniform,1000,150.0,404.0,404.0,407.0,0.0,3.0,23.92,0.22
uniform,1000,150.0,400.0,400.0,406.0,0.0,6.0,23.85,0.21
uniform,1000,150.0,399.0,399.0,403.0,0.0,4.0,23.97,0.24
uniform,1000,150.0,406.0,406.0,411.0,0.0,5.0,24.42,0.23
uniform,1000,150.0,397.0,398.0,402.0,1.0,5.0,24.2,0.22
uniform,1000,150.0,401.0,402.0,405.0,1.0,4.0,24.57,0.24
uniform,1000,150.0,400.0,400.0,404.0,0.0,4.0,24.25,0.22
uniform,1000,150.0,397.0,398.0,404.0,1.0,7.0,23.59,0.24
uniform,1000,150.0,404.0,404.0,408.0,0.0,4.0,24.13,0.22
uniform,1000,150.0,402.0,403.0,408.0,1.0,6.0,23.3,0.24
