Typ,Anzahl Items,Bin-Kapazitaet,LB,Hill Climbing,First Fit Descending,Abs. LB HC,Abs. LB FFD,Zeit HC (sec),Zeit FFD (sec)
triplet,501,1000.0,167.0,181.0,191.0,14.0,24.0,1.85,0.06
triplet,501,1000.0,167.0,184.0,189.0,17.0,22.0,1.89,0.05
triplet,501,1000.0,167.0,180.0,191.0,13.0,24.0,1.91,0.05
triplet,501,1000.0,167.0,182.0,190.0,15.0,23.0,1.93,0.06
triplet,501,1000.0,167.0,180.0,190.0,13.0,23.0,1.97,0.05
triplet,501,1000.0,167.0,180.0,190.0,13.0,23.0,1.86,0.05
triplet,501,1000.0,167.0,182.0,190.0,15.0,23.0,1.92,0.05
triplet,501,1000.0,167.0,180.0,190.0,13.0,23.0,2.28,0.07
triplet,501,1000.0,167.0,179.0,189.0,12.0,22.0,2.45,0.07
triplet,501,1000.0,167.0,184.0,191.0,17.0,24.0,2.46,0.07
triplet,501,1000.0,167.0,179.0,191.0,12.0,24.0,2.68,0.09
uniform,120,150.0,49.0,49.0,49.0,0.0,0.0,0.02,0.0
uniform,120,150.0,49.0,49.0,50.0,0.0,1.0,0.23,0.0
uniform,120,150.0,52.0,52.0,52.0,0.0,0.0,0.02,0.0
uniform,120,150.0,52.0,52.0,53.0,0.0,1.0,0.23,0.0
uniform,120,150.0,48.0,48.0,49.0,0.0,1.0,0.23,0.0
uniform,120,150.0,50.0,50.0,50.0,0.0,0.0,0.02,0.0
uniform,120,150.0,50.0,51.0,51.0,1.0,1.0,0.33,0.0
uniform,120,150.0,49.0,50.0,50.0,1.0,1.0,0.27,0.0
uniform,120,150.0,46.0,47.0,47.0,1.0,1.0,0.38,0.0
uniform,120,150.0,48.0,48.0,49.0,0.0,1.0,0.27,0.0
uniform,120,150.0,48.0,48.0,49.0,0.0,1.0,0.3,0.0
uniform,120,150.0,49.0,49.0,50.0,0.0,1.0,0.24,0.0
uniform,120,150.0,49.0,49.0,50.0,0.0,1.0,0.27,0.0
uniform,120,150.0,49.0,49.0,50.0,0.0,1.0,0.24,0.0
uniform,120,150.0,48.0,49.0,49.0,1.0,1.0,0.34,0.0
uniform,120,150.0,52.0,52.0,52.0,0.0,0.0,0.02,0.01
uniform,120,150.0,48.0,48.0,49.0,0.0,1.0,0.25,0.0
uniform,120,150.0,46.0,46.0,47.0,0.0,1.0,0.29,0.0
uniform,120,150.0,49.0,49.0,49.0,0.0,0.0,0.02,0.0
uniform,120,150.0,50.0,50.0,50.0,0.0,0.0,0.02,0.01
uniform,250,150.0,100.0,100.0,101.0,0.0,1.0,0.49,0.01
uniform,250,150.0,97.0,98.0,99.0,1.0,2.0,0.69,0.01
uniform,250,150.0,103.0,104.0,105.0,1.0,2.0,0.75,0.01
uniform,250,150.0,101.0,101.0,102.0,0.0,1.0,0.72,0.01
uniform,250,150.0,105.0,106.0,107.0,1.0,2.0,0.77,0.02
uniform,250,150.0,105.0,106.0,107.0,1.0,2.0,0.71,0.01
uniform,250,150.0,102.0,103.0,104.0,1.0,2.0,0.76,0.02
uniform,250,150.0,100.0,101.0,102.0,1.0,2.0,0.69,0.02
uniform,250,150.0,100.0,100.0,101.0,0.0,1.0,0.69,0.02
uniform,250,150.0,105.0,105.0,106.0,0.0,1.0,0.69,0.01
uniform,250,150.0,100.0,100.0,101.0,0.0,1.0,0.96,0.02
uniform,250,150.0,102.0,102.0,103.0,0.0,1.0,0.95,0.02
uniform,250,150.0,101.0,102.0,104.0,1.0,3.0,0.92,0.02
uniform,250,150.0,101.0,101.0,102.0,0.0,1.0,0.98,0.02
uniform,250,150.0,102.0,103.0,104.0,1.0,2.0,0.97,0.02
uniform,250,150.0,99.0,99.0,100.0,0.0,1.0,0.94,0.02
uniform,250,150.0,102.0,102.0,103.0,0.0,1.0,0.88,0.02
uniform,250,150.0,101.0,102.0,103.0,1.0,2.0,0.88,0.02
uniform,250,150.0,100.0,100.0,101.0,0.0,1.0,0.97,0.02
uniform,250,150.0,105.0,106.0,107.0,1.0,2.0,0.94,0.02
uniform,500,150.0,207.0,208.0,210.0,1.0,3.0,1.57,0.04
uniform,500,150.0,198.0,199.0,201.0,1.0,3.0,1.63,0.05
uniform,500,150.0,196.0,197.0,199.0,1.0,3.0,2.52,0.06
uniform,500,150.0,201.0,201.0,204.0,0.0,3.0,2.56,0.06
uniform,500,150.0,202.0,203.0,205.0,1.0,3.0,2.9,0.07
uniform,500,150.0,204.0,204.0,206.0,0.0,2.0,2.85,0.06
uniform,500,150.0,199.0,200.0,202.0,1.0,3.0,2.28,0.06
uniform,500,150.0,204.0,205.0,207.0,1.0,3.0,2.35,0.06
uniform,500,150.0,202.0,202.0,204.0,0.0,2.0,2.39,0.06
uniform,500,150.0,204.0,205.0,207.0,1.0,3.0,3.42,0.07
uniform,500,150.0,198.0,199.0,201.0,1.0,3.0,3.76,0.07
uniform,500,150.0,200.0,201.0,203.0,1.0,3.0,2.75,0.06
uniform,500,150.0,201.0,202.0,204.0,1.0,3.0,2.74,0.06
uniform,500,150.0,200.0,200.0,202.0,0.0,2.0,2.83,0.1
uniform,500,150.0,196.0,196.0,198.0,0.0,2.0,2.78,0.07
uniform,500,150.0,206.0,206.0,209.0,0.0,3.0,2.66,0.07
uniform,500,150.0,196.0,197.0,199.0,1.0,3.0,2.6,0.07
uniform,500,150.0,202.0,202.0,205.0,0.0,3.0,3.0,0.07
uniform,500,150.0,206.0,206.0,207.0,0.0,1.0,2.82,0.07
uniform,500,150.0,202.0,202.0,205.0,0.0,3.0,2.98,0.09
uniform,1000,150.0,399.0,400.0,404.0,1.0,5.0,10.7,0.27
uniform,1000,150.0,399.0,401.0,404.0,2.0,5.0,8.65,0.24
uniform,1000,150.0,394.0,396.0,400.0,2.0,6.0,8.46,0.24
uniform,1000,150.0,395.0,396.0,399.0,1.0,4.0,8.49,0.27
uniform,1000,150.0,393.0,394.0,398.0,1.0,5.0,9.91,0.27
uniform,1000,150.0,411.0,413.0,416.0,2.0,5.0,9.19,0.25
uniform,1000,150.0,411.0,412.0,416.0,1.0,5.0,10.79,0.32
uniform,1000,150.0,404.0,406.0,409.0,2.0,5.0,9.89,0.3
uniform,1000,150.0,396.0,397.0,401.0,1.0,5.0,9.66,0.28
uniform,1000,150.0,399.0,400.0,403.0,1.0,4.0,9.7,0.26
uniform,1000,150.0,404.0,405.0,407.0,1.0,3.0,10.38,0.3
uniform,1000,150.0,400.0,401.0,406.0,1.0,6.0,8.2,0.24
uniform,1000,150.0,399.0,400.0,403.0,1.0,4.0,10.62,0.31
uniform,1000,150.0,406.0,407.0,411.0,1.0,5.0,9.04,0.22
uniform,1000,150.0,397.0,398.0,402.0,1.0,5.0,8.68,0.24
uniform,1000,150.0,401.0,402.0,405.0,1.0,4.0,9.86,0.41
uniform,1000,150.0,400.0,401.0,404.0,1.0,4.0,10.35,0.3
uniform,1000,150.0,397.0,399.0,404.0,2.0,7.0,10.12,0.28
uniform,1000,150.0,404.0,405.0,408.0,1.0,4.0,10.71,0.62
uniform,1000,150.0,402.0,404.0,408.0,2.0,6.0,10.2,0.28
