Bin-Kapazitaet,LB,Hill Climbing,First Fit Descending,Abs. LB HC,Abs. LB FFD,Zeit HC (sec),Zeit FFD (sec)
1000.0,20.0,21.0,23.2,1.0,3.2,0.11150000000000002,0.0
1000.0,40.0,42.0,45.8,2.0,5.8,0.26850000000000007,0.0
1000.0,83.0,87.75,95.0,4.75,12.0,0.8440000000000001,0.0115
1000.0,167.0,178.85,190.05,11.85,23.05,2.85,0.05250000000000001
150.0,49.05,49.45,49.75,0.4,0.7,0.146,0.001
150.0,101.55,102.6,103.1,1.05,1.55,1.0130000000000001,0.013999999999999999
150.0,201.2,203.05,203.9,1.85,2.7,3.2945,0.05350000000000001
150.0,400.55,403.55,405.4,3.0,4.85,12.436499999999999,0.2325
