Typ,Instanzindex,Anzahl_Items,Bin_Kapazitaet,LB,HC,Bins_beyond_LB,Hit_LB,Iteration,elapsed_time
uniform,3,250,150,97,98,1,0,58,0.8637678299983236
uniform,3,250,150,97,98,1,0,59,0.8814429159992869
uniform,3,250,150,97,98,1,0,60,0.8945455019984365
uniform,3,250,150,97,98,1,0,61,0.9084649090000312
uniform,3,250,150,97,98,1,0,62,0.9282739869995567
uniform,3,250,150,97,98,1,0,63,0.9446162899985211
uniform,3,250,150,97,98,1,0,64,0.9597927209997579
uniform,3,250,150,97,98,1,0,65,0.9749970589982695
uniform,3,250,150,97,98,1,0,66,0.9915163359983126
uniform,3,250,150,97,98,1,0,67,1.0050683609988482
uniform,4,1000,150,399,403,4,0,1,0.32491615199978696
uniform,4,1000,150,399,403,4,0,2,0.459421501000179
uniform,4,1000,150,399,403,4,0,3,0.7082329299992125
uniform,4,1000,150,399,402,3,0,4,0.9543838029985636
uniform,4,1000,150,399,402,3,0,5,1.2917320849992393
uniform,5,1000,150,399,404,5,0,1,0.7658757760000299
uniform,5,1000,150,399,404,5,0,2,1.0137275979996048
uniform,6,1000,150,394,400,6,0,1,0.3681870849995903
uniform,6,1000,150,394,400,6,0,2,0.5378365899996425
uniform,6,1000,150,394,400,6,0,3,0.7042985849984689
uniform,6,1000,150,394,400,6,0,4,1.0174860899987834
uniform,7,500,150,196,199,3,0,1,0.10231662899968796
uniform,7,500,150,196,199,3,0,2,0.16741290999925695
uniform,7,500,150,196,199,3,0,3,0.22120256299967878
uniform,7,500,150,196,198,2,0,4,0.26145214999996824
uniform,7,500,150,196,198,2,0,5,0.32919944999957806
uniform,7,500,150,196,198,2,0,6,0.37730745199951343
uniform,7,500,150,196,198,2,0,7,0.4253000449989486
uniform,7,500,150,196,198,2,0,8,0.4767841229986516
uniform,7,500,150,196,198,2,0,9,0.535908579999159
uniform,7,500,150,196,198,2,0,10,0.5871997079993889
uniform,7,500,150,196,198,2,0,11,0.6375377979984478
uniform,7,500,150,196,198,2,0,12,0.6898924500001158
uniform,7,500,150,196,198,2,0,13,0.7381229949987755
uniform,7,500,150,196,198,2,0,14,0.7917305430000852
uniform,7,500,150,196,198,2,0,15,0.8523968709996552
uniform,7,500,150,196,198,2,0,16,0.9002889969997341
uniform,7,500,150,196,198,2,0,17,0.9604406079997716
uniform,7,500,150,196,198,2,0,18,1.025502708998829
uniform,8,250,150,103,104,1,0,1,0.04373527300049318
uniform,8,250,150,103,104,1,0,2,0.06865885600018373
uniform,8,250,150,103,104,1,0,3,0.08904609599994728
uniform,8,250,150,103,104,1,0,4,0.11151084499942954
uniform,8,250,150,103,104,1,0,5,0.13702899000054458
uniform,8,250,150,103,104,1,0,6,0.16360465899924748
uniform,8,250,150,103,104,1,0,7,0.19210998999915319
uniform,8,250,150,103,104,1,0,8,0.23474092099968402
uniform,8,250,150,103,104,1,0,9,0.2655778369990003
uniform,8,250,150,103,104,1,0,10,0.3049470480000309
uniform,8,250,150,103,104,1,0,11,0.33097964599983243
uniform,8,250,150,103,104,1,0,12,0.3535211630005506
uniform,8,250,150,103,104,1,0,13,0.4065313840001181
uniform,8,250,150,103,104,1,0,14,0.43877903000066
uniform,8,250,150,103,104,1,0,15,0.4730182789990067
uniform,8,250,150,103,104,1,0,16,0.5052367030002642
uniform,8,250,150,103,104,1,0,17,0.5399682789993676
uniform,8,250,150,103,104,1,0,18,0.5714348689998587
uniform,8,250,150,103,104,1,0,19,0.5959495059996698
uniform,8,250,150,103,104,1,0,20,0.6192849569997634
uniform,8,250,150,103,104,1,0,21,0.640342103999501
uniform,8,250,150,103,104,1,0,22,0.6679461509993416
uniform,8,250,150,103,104,1,0,23,0.6877789059999486
uniform,8,250,150,103,104,1,0,24,0.704365573999894
uniform,8,250,150,103,104,1,0,25,0.7231461779992969
uniform,8,250,150,103,104,1,0,26,0.7405367139999726
uniform,8,250,150,103,104,1,0,27,0.7617055899991101
uniform,8,250,150,103,104,1,0,28,0.7828272940005263
uniform,8,250,150,103,104,1,0,29,0.8109556409999641
uniform,8,250,150,103,104,1,0,30,0.8379207759990095
uniform,8,250,150,103,104,1,0,31,0.862738994999745
uniform,8,250,150,103,104,1,0,32,0.8901678389993322
uniform,8,250,150,103,104,1,0,33,0.9145241269998223
uniform,8,250,150,103,104,1,0,34,0.9461698260001867
uniform,8,250,150,103,104,1,0,35,0.9732480669990764
uniform,8,250,150,103,104,1,0,36,0.9973925539998163
uniform,9,250,150,101,102,1,0,1,0.03501331600091362
uniform,9,250,150,101,102,1,0,2,0.055745781000950956
uniform,9,250,150,101,102,1,0,3,0.07753091100130405
uniform,9,250,150,101,102,1,0,4,0.09641951199955656
uniform,9,250,150,101,102,1,0,5,0.1160971139997855
uniform,9,250,150,101,102,1,0,6,0.13176021199979004
uniform,9,250,150,101,102,1,0,7,0.14943679600037285
uniform,9,250,150,101,102,1,0,8,0.16435899899988726
uniform,9,250,150,101,102,1,0,9,0.1788614310007688
uniform,9,250,150,101,102,1,0,10,0.19160240900055214
uniform,9,250,150,101,102,1,0,11,0.20832770600100048
uniform,9,250,150,101,102,1,0,12,0.22586157000114326
uniform,9,250,150,101,102,1,0,13,0.24381435299983423
uniform,9,250,150,101,102,1,0,14,0.2588361079997412
uniform,9,250,150,101,102,1,0,15,0.2762785270006134
uniform,9,250,150,101,102,1,0,16,0.29455426999993506
uniform,9,250,150,101,102,1,0,17,0.3123748850011907
uniform,9,250,150,101,102,1,0,18,0.3288510889997269
uniform,9,250,150,101,102,1,0,19,0.3456648960000166
uniform,9,250,150,101,102,1,0,20,0.3661186560002534
uniform,9,250,150,101,102,1,0,21,0.38617987600082415
uniform,9,250,150,101,102,1,0,22,0.4067941070006782
uniform,9,250,150,101,102,1,0,23,0.42573856099988916
uniform,9,250,150,101,102,1,0,24,0.4439752930011309
uniform,9,250,150,101,102,1,0,25,0.4632631479998963
uniform,9,250,150,101,102,1,0,26,0.48058764100096596
uniform,9,250,150,101,102,1,0,27,0.49647826500040537
uniform,9,250,150,101,102,1,0,28,0.5129459100007807
uniform,9,250,150,101,102,1,0,29,0.5343068170004699
uniform,9,250,150,101,102,1,0,30,0.5552950910005165
uniform,9,250,150,101,102,1,0,31,0.5740615320009965
uniform,9,250,150,101,102,1,0,32,0.595130802001222
uniform,9,250,150,101,102,1,0,33,0.6177537849998771
uniform,9,250,150,101,102,1,0,34,0.64013395999973
uniform,9,250,150,101,102,1,0,35,0.65724401999978
uniform,9,250,150,101,102,1,0,36,0.6745120329997008
uniform,9,250,150,101,102,1,0,37,0.6918519829996512
uniform,9,250,150,101,102,1,0,38,0.711774299001263
uniform,9,250,150,101,102,1,0,39,0.7335510480006633
uniform,9,250,150,101,102,1,0,40,0.7525821250001172
uniform,9,250,150,101,102,1,0,41,0.7749592590007524
uniform,9,250,150,101,102,1,0,42,0.8014738390011189
uniform,9,250,150,101,102,1,0,43,0.8230012380008702
uniform,9,250,150,101,102,1,0,44,0.8433767690003151
uniform,9,250,150,101,102,1,0,45,0.8650351180003781
uniform,9,250,150,101,102,1,0,46,0.8887253430002602
uniform,9,250,150,101,102,1,0,47,0.9150336260008771
uniform,9,250,150,101,102,1,0,48,0.9353081879999081
uniform,9,250,150,101,102,1,0,49,0.955349436000688
uniform,9,250,150,101,102,1,0,50,0.9737864100006846
uniform,9,250,150,101,102,1,0,51,0.9968014189998939
uniform,10,120,150,49,49,0,1,1,0.0076492620009958046
uniform,11,250,150,105,107,2,0,1,0.028656559999944875
uniform,11,250,150,105,107,2,0,2,0.05151993199979188
uniform,11,250,150,105,107,2,0,3,0.07587860100102262
uniform,11,250,150,105,107,2,0,4,0.11990965000040887
uniform,11,250,150,105,107,2,0,5,0.17394969899942225
uniform,11,250,150,105,107,2,0,6,0.21901155699924857
uniform,11,250,150,105,107,2,0,7,0.2785942699993029
uniform,11,250,150,105,107,2,0,8,0.30946462499923655
uniform,11,250,150,105,107,2,0,9,0.3540034689995082
uniform,11,250,150,105,107,2,0,10,0.41323831800036714
uniform,11,250,150,105,107,2,0,11,0.4690650659995299
uniform,11,250,150,105,107,2,0,12,0.5283658419994026
uniform,11,250,150,105,107,2,0,13,0.5877271219997056
uniform,11,250,150,105,107,2,0,14,0.6498938999993698
uniform,11,250,150,105,107,2,0,15,0.6933871349992842
uniform,11,250,150,105,107,2,0,16,0.7306912269996246
uniform,11,250,150,105,107,2,0,17,0.7625772030005464
uniform,11,250,150,105,107,2,0,18,0.7916440419994615
uniform,11,250,150,105,107,2,0,19,0.8175635019997571
uniform,11,250,150,105,107,2,0,20,0.8437555830005294
uniform,11,250,150,105,107,2,0,21,0.881893398000102
uniform,11,250,150,105,107,2,0,22,0.914208416999827
uniform,11,250,150,105,107,2,0,23,0.9520946190004906
uniform,11,250,150,105,107,2,0,24,0.9986069050009974
uniform,12,250,150,105,107,2,0,1,0.058788029999050195
uniform,12,250,150,105,106,1,0,2,0.10376351800005068
uniform,12,250,150,105,106,1,0,3,0.14758876399901055
uniform,12,250,150,105,106,1,0,4,0.19004448899977433
uniform,12,250,150,105,106,1,0,5,0.23337319099846354
uniform,12,250,150,105,106,1,0,6,0.28156225299971993
uniform,12,250,150,105,106,1,0,7,0.331864517998838
uniform,12,250,150,105,106,1,0,8,0.38239349399918865
uniform,12,250,150,105,106,1,0,9,0.42736750499898335
uniform,12,250,150,105,106,1,0,10,0.4672244049997971
uniform,12,250,150,105,106,1,0,11,0.5152358619998267
uniform,12,250,150,105,106,1,0,12,0.5602994849996321
uniform,12,250,150,105,106,1,0,13,0.5902854729993123
uniform,12,250,150,105,106,1,0,14,0.6406610889989679
uniform,12,250,150,105,106,1,0,15,0.6865463349986385
uniform,12,250,150,105,106,1,0,16,0.7248225429993909
uniform,12,250,150,105,106,1,0,17,0.7665337899998121
uniform,12,250,150,105,106,1,0,18,0.8008681609990163
uniform,12,250,150,105,106,1,0,19,0.8371624779992999
uniform,12,250,150,105,106,1,0,20,0.8803747040001326
uniform,12,250,150,105,106,1,0,21,0.9109776049990614
uniform,12,250,150,105,106,1,0,22,0.9422080579988688
uniform,12,250,150,105,106,1,0,23,0.974839141999837
uniform,12,250,150,105,106,1,0,24,1.008272755998405
uniform,13,1000,150,395,399,4,0,1,0.7045192629993835
uniform,13,1000,150,395,399,4,0,2,1.3309399709996796
uniform,14,500,150,201,204,3,0,1,0.48314788499919814
uniform,14,500,150,201,204,3,0,2,0.7346032860004925
uniform,14,500,150,201,204,3,0,3,0.9700188759998127
uniform,14,500,150,201,204,3,0,4,1.0974433299998054
uniform,15,250,150,102,104,2,0,1,0.08434757999930298
uniform,15,250,150,102,104,2,0,2,0.130206369998632
uniform,15,250,150,102,104,2,0,3,0.17214362799859373
uniform,15,250,150,102,104,2,0,4,0.21079937600006815
uniform,15,250,150,102,104,2,0,5,0.24915281999892613
uniform,15,250,150,102,104,2,0,6,0.28996083899983205
uniform,15,250,150,102,104,2,0,7,0.3217418650001491
uniform,15,250,150,102,104,2,0,8,0.3610070260001521
uniform,15,250,150,102,104,2,0,9,0.3997189369983971
uniform,15,250,150,102,104,2,0,10,0.4333203339992906
uniform,15,250,150,102,104,2,0,11,0.4709206119987357
uniform,15,250,150,102,104,2,0,12,0.5212761719994887
uniform,15,250,150,102,104,2,0,13,0.5552318169993669
uniform,15,250,150,102,104,2,0,14,0.5905352149984537
uniform,15,250,150,102,104,2,0,15,0.6210976189995563
uniform,15,250,150,102,104,2,0,16,0.6583240639993164
uniform,15,250,150,102,104,2,0,17,0.6924290419992758
uniform,15,250,150,102,104,2,0,18,0.7257073949986079
uniform,15,250,150,102,104,2,0,19,0.7623637919987232
uniform,15,250,150,102,104,2,0,20,0.798293890999048
uniform,15,250,150,102,104,2,0,21,0.8313215069993021
uniform,15,250,150,102,104,2,0,22,0.8645273289985198
uniform,15,250,150,102,103,1,0,23,0.8952974999992875
uniform,15,250,150,102,103,1,0,24,0.9395240459998604
uniform,15,250,150,102,103,1,0,25,0.970027654999285
uniform,15,250,150,102,103,1,0,26,1.0235967079988768
uniform,16,120,150,49,50,1,0,1,0.013081614000839181
uniform,16,120,150,49,50,1,0,2,0.025417500000912696
uniform,16,120,150,49,50,1,0,3,0.03636845599976368
uniform,16,120,150,49,50,1,0,4,0.05109474399978353
uniform,16,120,150,49,50,1,0,5,0.06460273900120228
uniform,16,120,150,49,50,1,0,6,0.07764090100135945
uniform,16,120,150,49,50,1,0,7,0.09013050400062639
uniform,16,120,150,49,50,1,0,8,0.1040632940002979
uniform,16,120,150,49,50,1,0,9,0.11703190800108132
uniform,16,120,150,49,50,1,0,10,0.13349970600029337
uniform,16,120,150,49,50,1,0,11,0.14774724200105993
uniform,16,120,150,49,50,1,0,12,0.163159446001373
uniform,16,120,150,49,50,1,0,13,0.17722189699998125
uniform,16,120,150,49,50,1,0,14,0.18970665900087624
uniform,16,120,150,49,50,1,0,15,0.20096568900044076
uniform,16,120,150,49,50,1,0,16,0.2130481010008225
uniform,16,120,150,49,50,1,0,17,0.22431947200129798
uniform,16,120,150,49,50,1,0,18,0.23524886700033676
uniform,16,120,150,49,50,1,0,19,0.24685399300142308
uniform,16,120,150,49,50,1,0,20,0.2609968150009081
uniform,16,120,150,49,50,1,0,21,0.2741725010000664
uniform,16,120,150,49,50,1,0,22,0.28821019700080797
uniform,16,120,150,49,50,1,0,23,0.3012774380003975
uniform,16,120,150,49,50,1,0,24,0.31684382900130004
uniform,16,120,150,49,50,1,0,25,0.33223982799972873
uniform,16,120,150,49,50,1,0,26,0.345372589001272
uniform,16,120,150,49,50,1,0,27,0.36000389000037103
uniform,16,120,150,49,50,1,0,28,0.3733420990010927
uniform,16,120,150,49,50,1,0,29,0.3907357790012611
uniform,16,120,150,49,50,1,0,30,0.40307732700057386
uniform,16,120,150,49,50,1,0,31,0.4162849690001167
uniform,16,120,150,49,50,1,0,32,0.4290570030007075
uniform,16,120,150,49,50,1,0,33,0.44205348800096544
uniform,16,120,150,49,50,1,0,34,0.45558827700006077
uniform,16,120,150,49,50,1,0,35,0.4689568470002996
uniform,16,120,150,49,50,1,0,36,0.48426155200104404
uniform,16,120,150,49,50,1,0,37,0.49844174000099883
uniform,16,120,150,49,50,1,0,38,0.5094354880002356
uniform,16,120,150,49,50,1,0,39,0.522730163000233
uniform,16,120,150,49,50,1,0,40,0.5377304980011104
uniform,16,120,150,49,50,1,0,41,0.5513722600007895
uniform,16,120,150,49,50,1,0,42,0.5649991040008899
uniform,16,120,150,49,50,1,0,43,0.5783889880003699
uniform,16,120,150,49,50,1,0,44,0.589987500999996
uniform,16,120,150,49,50,1,0,45,0.6016188220000913
uniform,16,120,150,49,50,1,0,46,0.6142148720009573
uniform,16,120,150,49,50,1,0,47,0.6245349710006849
uniform,16,120,150,49,50,1,0,48,0.6384122910003498
uniform,16,120,150,49,49,0,1,49,0.6524627489998238
uniform,17,500,150,202,204,2,0,1,0.12688638399959018
uniform,17,500,150,202,204,2,0,2,0.21334847199977958
uniform,17,500,150,202,204,2,0,3,0.29549916999894776
uniform,17,500,150,202,204,2,0,4,0.39281626800038794
uniform,17,500,150,202,204,2,0,5,0.47712555500038434
uniform,17,500,150,202,204,2,0,6,0.5420310030003748
uniform,17,500,150,202,204,2,0,7,0.6187899779997679
uniform,17,500,150,202,204,2,0,8,0.6973596190000535
uniform,17,500,150,202,204,2,0,9,0.7816672089993517
uniform,17,500,150,202,204,2,0,10,0.8630421010002465
uniform,17,500,150,202,204,2,0,11,0.9446218789998966
uniform,17,500,150,202,204,2,0,12,1.016708553999706
uniform,18,120,150,52,52,0,1,1,0.008874528000887949
uniform,19,500,150,204,206,2,0,1,0.1304032299995015
uniform,19,500,150,204,206,2,0,2,0.20278334300019196
uniform,19,500,150,204,206,2,0,3,0.30837291900024866
uniform,19,500,150,204,206,2,0,4,0.39088544299920613
uniform,19,500,150,204,206,2,0,5,0.46708111699990695
uniform,19,500,150,204,205,1,0,6,0.535698493999007
uniform,19,500,150,204,205,1,0,7,0.6278911709996464
uniform,19,500,150,204,205,1,0,8,0.7047204310001689
uniform,19,500,150,204,205,1,0,9,0.7814146399996389
uniform,19,500,150,204,205,1,0,10,0.8501735320005537
uniform,19,500,150,204,205,1,0,11,0.9273479729999963
uniform,19,500,150,204,205,1,0,12,0.9995569589991646
uniform,20,120,150,52,53,1,0,1,0.008467231000395259
uniform,20,120,150,52,53,1,0,2,0.020091115000468562
uniform,20,120,150,52,53,1,0,3,0.03168994600127917
uniform,20,120,150,52,53,1,0,4,0.04141434899975138
uniform,20,120,150,52,53,1,0,5,0.051167035000617034
uniform,20,120,150,52,53,1,0,6,0.059730958000727696
uniform,20,120,150,52,53,1,0,7,0.07007116000022506
uniform,20,120,150,52,53,1,0,8,0.08165062500120257
uniform,20,120,150,52,53,1,0,9,0.09168613300062134
uniform,20,120,150,52,53,1,0,10,0.10344217800047772
uniform,20,120,150,52,53,1,0,11,0.11319954500140739
uniform,20,120,150,52,53,1,0,12,0.12264962900007959
uniform,20,120,150,52,53,1,0,13,0.133743972000957
uniform,20,120,150,52,53,1,0,14,0.14543012200010708
uniform,20,120,150,52,53,1,0,15,0.15505772300093668
uniform,20,120,150,52,53,1,0,16,0.16514166600063618
uniform,20,120,150,52,53,1,0,17,0.17575186700014456
uniform,20,120,150,52,53,1,0,18,0.18697666600019147
uniform,20,120,150,52,53,1,0,19,0.1965241550005885
uniform,20,120,150,52,53,1,0,20,0.20778776200131688
uniform,20,120,150,52,53,1,0,21,0.2193572470005165
uniform,20,120,150,52,53,1,0,22,0.2320648090008035
uniform,20,120,150,52,53,1,0,23,0.24284664500009967
uniform,20,120,150,52,53,1,0,24,0.2537073090006743
uniform,20,120,150,52,53,1,0,25,0.26438584700008505
uniform,20,120,150,52,53,1,0,26,0.27658217000134755
uniform,20,120,150,52,53,1,0,27,0.2921731679998629
