Typ,Instanzindex,Anzahl_Items,Bin_Kapazitaet,LB,HC,Bins_beyond_LB,Hit_LB,Iteration,elapsed_time
triplet,3,120,1000,40,46,6,0,0,0.0044223180011613294
triplet,4,501,1000,167,190,23,0,0,0.05243067199990037
triplet,5,60,1000,20,23,3,0,0,0.0005809270005556755
triplet,6,120,1000,40,47,7,0,0,0.0024572269976488315
triplet,7,249,1000,83,95,12,0,0,0.01149663199976203
triplet,8,501,1000,167,189,22,0,0,0.04665458100134856
triplet,9,249,1000,83,95,12,0,0,0.011842380998132285
triplet,10,120,1000,40,45,5,0,0,0.0023256300009961706
triplet,11,60,1000,20,23,3,0,0,0.0008200010015571024
triplet,12,120,1000,40,46,6,0,0,0.003044628996576648
triplet,13,249,1000,83,96,13,0,0,0.011954814002820058
triplet,14,60,1000,20,23,3,0,0,0.0013598029981949367
triplet,15,501,1000,167,190,23,0,0,0.046346582003025105
triplet,16,60,1000,20,23,3,0,0,0.0006387760004145093
triplet,17,249,1000,83,94,11,0,0,0.009163364000414731
triplet,18,60,1000,20,23,3,0,0,0.0008190069966076408
triplet,19,501,1000,167,190,23,0,0,0.04339383300248301
triplet,20,501,1000,167,189,22,0,0,0.03968073099895264
triplet,21,501,1000,167,190,23,0,0,0.03746009699898423
triplet,22,501,1000,167,190,23,0,0,0.04069089900076506
triplet,23,120,1000,40,46,6,0,0,0.002307538998138625
triplet,24,501,1000,167,191,24,0,0,0.03693746100179851
triplet,25,249,1000,83,94,11,0,0,0.012174593997769989
triplet,26,120,1000,40,46,6,0,0,0.0026084489982167725
triplet,27,120,1000,40,45,5,0,0,0.0024132599974109326
triplet,28,60,1000,20,23,3,0,0,0.0008177279996743891
triplet,29,249,1000,83,95,12,0,0,0.020830563000345137
triplet,30,249,1000,83,96,13,0,0,0.013132935000612633
triplet,31,60,1000,20,24,4,0,0,0.0010311149999324698
triplet,32,501,1000,167,190,23,0,0,0.045244988999911584
triplet,33,120,1000,40,46,6,0,0,0.0022979989989835303
triplet,34,501,1000,167,191,24,0,0,0.03655406899997615
triplet,35,60,1000,20,23,3,0,0,0.0007371280007646419
triplet,36,249,1000,83,95,12,0,0,0.008811542000330519
triplet,37,60,1000,20,23,3,0,0,0.0011401270021451637
triplet,38,501,1000,167,189,22,0,0,0.04032618400015053
triplet,39,120,1000,40,45,5,0,0,0.0022445399990829173
triplet,40,501,1000,167,191,24,0,0,0.03746739500274998
triplet,41,60,1000,20,23,3,0,0,0.000576331000047503
triplet,42,501,1000,167,190,23,0,0,0.037430770997161744
triplet,43,120,1000,40,46,6,0,0,0.002202460000262363
triplet,44,60,1000,20,23,3,0,0,0.0006647379996138625
triplet,45,60,1000,20,24,4,0,0,0.0006014339996909257
triplet,46,249,1000,83,95,12,0,0,0.010481147997779772
triplet,47,249,1000,83,95,12,0,0,0.0149960380003904
triplet,48,249,1000,83,95,12,0,0,0.011965821002377197
triplet,49,249,1000,83,94,11,0,0,0.011961080999753904
triplet,50,120,1000,40,45,5,0,0,0.002643509000336053
triplet,51,120,1000,40,45,5,0,0,0.0029487239989975933
triplet,52,60,1000,20,23,3,0,0,0.0008220399977290072
triplet,53,60,1000,20,24,4,0,0,0.0010341670022171456
triplet,54,249,1000,83,94,11,0,0,0.012260801999218529
triplet,55,120,1000,40,46,6,0,0,0.002989190001244424
triplet,56,120,1000,40,46,6,0,0,0.004084656000486575
triplet,57,60,1000,20,23,3,0,0,0.001160294999863254
triplet,58,60,1000,20,23,3,0,0,0.0009966689976863563
triplet,59,501,1000,167,190,23,0,0,0.05051117399852956
triplet,60,501,1000,167,190,23,0,0,0.0370030960002623
triplet,61,60,1000,20,24,4,0,0,0.000694614998792531
triplet,62,249,1000,83,95,12,0,0,0.008878435000951868
triplet,63,120,1000,40,46,6,0,0,0.0022948699988774024
triplet,64,120,1000,40,46,6,0,0,0.0029637389998242725
triplet,65,249,1000,83,96,13,0,0,0.011884528001246508
triplet,66,501,1000,167,190,23,0,0,0.047505962997092865
triplet,67,120,1000,40,46,6,0,0,0.0021765780002169777
triplet,68,120,1000,40,46,6,0,0,0.002303379002114525
triplet,69,249,1000,83,95,12,0,0,0.014143118998617865
triplet,70,60,1000,20,23,3,0,0,0.0008025339993764646
triplet,71,501,1000,167,190,23,0,0,0.04026025100029074
triplet,72,60,1000,20,23,3,0,0,0.0007344949990510941
triplet,73,249,1000,83,96,13,0,0,0.009037378997163614
triplet,74,501,1000,167,189,22,0,0,0.04645535600138828
triplet,75,501,1000,167,191,24,0,0,0.03783877100067912
triplet,76,120,1000,40,46,6,0,0,0.002320382001926191
triplet,77,249,1000,83,96,13,0,0,0.01050331000078586
triplet,78,501,1000,167,191,24,0,0,0.06401038100011647
triplet,79,120,1000,40,46,6,0,0,0.0023464179976144806
