Bin-Kapazitaet,LB,Hill Climbing,First Fit Descending,Abs. LB HC,Abs. LB FFD,Zeit HC (sec),Zeit FFD (sec)
150.0,49.05,49.2,49.75,0.15,0.7,0.1635,0.003
150.0,101.55,102.0,103.1,0.45,1.55,0.8960000000000001,0.017500000000000005
150.0,201.2,201.75,203.9,0.55,2.7,2.4074999999999998,0.06500000000000003
150.0,400.55,401.8,405.4,1.25,4.85,8.672,0.2659999999999999
