Typ,Instanzindex,Anzahl Items,Bin-Kapazitaet,LB,Bins beyond LB,Iteration
triplet,16,501,1000,167,23,2
triplet,16,501,1000,167,23,3
triplet,16,501,1000,167,23,4
triplet,16,501,1000,167,23,5
triplet,16,501,1000,167,22,6
triplet,16,501,1000,167,22,7
triplet,16,501,1000,167,21,8
triplet,16,501,1000,167,21,9
triplet,16,501,1000,167,20,10
triplet,17,501,1000,167,22,1
triplet,17,501,1000,167,22,2
triplet,17,501,1000,167,22,3
triplet,17,501,1000,167,21,4
triplet,17,501,1000,167,21,5
triplet,17,501,1000,167,21,6
triplet,17,501,1000,167,21,7
triplet,17,501,1000,167,20,8
triplet,17,501,1000,167,20,9
triplet,17,501,1000,167,20,10
triplet,18,501,1000,167,24,1
triplet,18,501,1000,167,24,2
triplet,18,501,1000,167,23,3
triplet,18,501,1000,167,23,4
triplet,18,501,1000,167,23,5
triplet,18,501,1000,167,22,6
triplet,18,501,1000,167,22,7
triplet,18,501,1000,167,22,8
triplet,18,501,1000,167,22,9
triplet,18,501,1000,167,22,10
triplet,19,501,1000,167,24,1
triplet,19,501,1000,167,23,2
triplet,19,501,1000,167,23,3
triplet,19,501,1000,167,23,4
triplet,19,501,1000,167,23,5
triplet,19,501,1000,167,22,6
triplet,19,501,1000,167,22,7
triplet,19,501,1000,167,22,8
triplet,19,501,1000,167,22,9
triplet,19,501,1000,167,22,10
