Bin-Kapazitaet,LB,Hill Climbing,First Fit Descending,Abs. LB HC,Abs. LB FFD,Zeit HC (sec),Zeit FFD (sec)
1000.0,20.0,21.0,23.2,1.0,3.2,0.2245,0.0
1000.0,40.0,41.2,45.8,1.2,5.8,0.5850000000000002,0.0005
1000.0,83.0,85.8,95.0,2.8,12.0,1.698,0.010500000000000002
1000.0,167.0,175.5,190.05,8.5,23.05,5.805499999999999,0.051000000000000024
150.0,49.05,49.2,49.75,0.15,0.7,0.4365,0.001
150.0,101.55,101.9,103.1,0.35,1.55,1.9765000000000001,0.010500000000000002
150.0,201.2,201.55,203.9,0.35,2.7,6.421999999999999,0.052500000000000026
150.0,400.55,400.95,405.4,0.4,4.85,24.028,0.22800000000000004
