Typ,Anzahl Items,Bin-Kapazitaet,LB,Hill Climbing,First Fit Descending,Abs. LB HC,Abs. LB FFD,Zeit HC (sec),Zeit FFD (sec)
triplet,60,1000.0,20.0,21.0,23.0,1.0,3.0,0.11,0.0
triplet,60,1000.0,20.0,21.0,23.0,1.0,3.0,0.12,0.0
triplet,60,1000.0,20.0,21.0,23.0,1.0,3.0,0.11,0.0
triplet,60,1000.0,20.0,21.0,23.0,1.0,3.0,0.1,0.0
triplet,60,1000.0,20.0,21.0,23.0,1.0,3.0,0.11,0.0
triplet,60,1000.0,20.0,21.0,23.0,1.0,3.0,0.1,0.0
triplet,60,1000.0,20.0,21.0,23.0,1.0,3.0,0.12,0.0
triplet,60,1000.0,20.0,21.0,24.0,1.0,4.0,0.1,0.0
triplet,60,1000.0,20.0,21.0,23.0,1.0,3.0,0.11,0.0
triplet,60,1000.0,20.0,21.0,23.0,1.0,3.0,0.12,0.0
triplet,60,1000.0,20.0,21.0,23.0,1.0,3.0,0.11,0.0
triplet,60,1000.0,20.0,21.0,23.0,1.0,3.0,0.11,0.0
triplet,60,1000.0,20.0,21.0,24.0,1.0,4.0,0.11,0.0
triplet,60,1000.0,20.0,21.0,23.0,1.0,3.0,0.12,0.0
triplet,60,1000.0,20.0,21.0,24.0,1.0,4.0,0.11,0.0
triplet,60,1000.0,20.0,21.0,23.0,1.0,3.0,0.11,0.0
triplet,60,1000.0,20.0,21.0,23.0,1.0,3.0,0.11,0.0
triplet,60,1000.0,20.0,21.0,24.0,1.0,4.0,0.12,0.0
triplet,60,1000.0,20.0,21.0,23.0,1.0,3.0,0.13,0.0
triplet,60,1000.0,20.0,21.0,23.0,1.0,3.0,0.14,0.0
triplet,120,1000.0,40.0,41.0,46.0,1.0,6.0,0.3,0.0
triplet,120,1000.0,40.0,42.0,47.0,2.0,7.0,0.29,0.0
triplet,120,1000.0,40.0,41.0,45.0,1.0,5.0,0.32,0.0
triplet,120,1000.0,40.0,42.0,46.0,2.0,6.0,0.31,0.0
triplet,120,1000.0,40.0,42.0,46.0,2.0,6.0,0.29,0.0
triplet,120,1000.0,40.0,43.0,46.0,3.0,6.0,0.31,0.0
triplet,120,1000.0,40.0,41.0,45.0,1.0,5.0,0.3,0.0
triplet,120,1000.0,40.0,42.0,46.0,2.0,6.0,0.31,0.0
triplet,120,1000.0,40.0,41.0,45.0,1.0,5.0,0.28,0.0
triplet,120,1000.0,40.0,42.0,46.0,2.0,6.0,0.27,0.0
triplet,120,1000.0,40.0,43.0,45.0,3.0,5.0,0.3,0.0
triplet,120,1000.0,40.0,41.0,45.0,1.0,5.0,0.32,0.0
