Typ,Anzahl Items,Bin-Kapazitaet,LB,Hill Climbing,First Fit Descending,Abs. LB HC,Abs. LB FFD,Zeit HC (sec),Zeit FFD (sec)
triplet,501,1000.0,167.0,179.0,191.0,12.0,24.0,1.92,0.06
triplet,501,1000.0,167.0,181.0,189.0,14.0,22.0,2.63,0.07
triplet,501,1000.0,167.0,181.0,191.0,14.0,24.0,2.48,0.09
triplet,501,1000.0,167.0,180.0,190.0,13.0,23.0,2.22,0.07
triplet,501,1000.0,167.0,180.0,190.0,13.0,23.0,2.41,0.1
triplet,501,1000.0,167.0,180.0,190.0,13.0,23.0,2.17,0.06
triplet,501,1000.0,167.0,182.0,190.0,15.0,23.0,2.08,0.06
triplet,501,1000.0,167.0,181.0,190.0,14.0,23.0,2.19,0.07
triplet,501,1000.0,167.0,184.0,189.0,17.0,22.0,2.17,0.07
triplet,501,1000.0,167.0,181.0,191.0,14.0,24.0,2.04,0.07
triplet,501,1000.0,167.0,182.0,191.0,15.0,24.0,2.0,0.06
uniform,120,150.0,49.0,49.0,49.0,0.0,0.0,0.01,0.0
uniform,120,150.0,49.0,49.0,50.0,0.0,1.0,0.18,0.0
uniform,120,150.0,52.0,52.0,52.0,0.0,0.0,0.01,0.0
uniform,120,150.0,52.0,53.0,53.0,1.0,1.0,0.18,0.0
uniform,120,150.0,48.0,49.0,49.0,1.0,1.0,0.17,0.0
uniform,120,150.0,50.0,50.0,50.0,0.0,0.0,0.02,0.0
uniform,120,150.0,50.0,51.0,51.0,1.0,1.0,0.26,0.0
uniform,120,150.0,49.0,50.0,50.0,1.0,1.0,0.18,0.0
uniform,120,150.0,46.0,47.0,47.0,1.0,1.0,0.19,0.0
uniform,120,150.0,48.0,48.0,49.0,0.0,1.0,0.27,0.0
uniform,120,150.0,48.0,48.0,49.0,0.0,1.0,0.22,0.0
uniform,120,150.0,49.0,50.0,50.0,1.0,1.0,0.2,0.0
uniform,120,150.0,49.0,50.0,50.0,1.0,1.0,0.19,0.0
uniform,120,150.0,49.0,49.0,50.0,0.0,1.0,0.24,0.0
uniform,120,150.0,48.0,49.0,49.0,1.0,1.0,0.19,0.0
uniform,120,150.0,52.0,52.0,52.0,0.0,0.0,0.02,0.01
uniform,120,150.0,48.0,49.0,49.0,1.0,1.0,0.32,0.01
uniform,120,150.0,46.0,46.0,47.0,0.0,1.0,0.2,0.0
uniform,120,150.0,49.0,49.0,49.0,0.0,0.0,0.01,0.0
uniform,120,150.0,50.0,50.0,50.0,0.0,0.0,0.01,0.01
uniform,250,150.0,100.0,100.0,101.0,0.0,1.0,0.37,0.01
uniform,250,150.0,97.0,98.0,99.0,1.0,2.0,0.47,0.01
uniform,250,150.0,103.0,104.0,105.0,1.0,2.0,1.08,0.02
uniform,250,150.0,101.0,102.0,102.0,1.0,1.0,0.71,0.02
uniform,250,150.0,105.0,106.0,107.0,1.0,2.0,0.65,0.02
uniform,250,150.0,105.0,106.0,107.0,1.0,2.0,0.66,0.01
uniform,250,150.0,102.0,103.0,104.0,1.0,2.0,0.63,0.01
uniform,250,150.0,100.0,101.0,102.0,1.0,2.0,0.61,0.01
uniform,250,150.0,100.0,101.0,101.0,1.0,1.0,0.63,0.01
uniform,250,150.0,105.0,106.0,106.0,1.0,1.0,0.67,0.02
uniform,250,150.0,100.0,100.0,101.0,0.0,1.0,0.79,0.02
uniform,250,150.0,102.0,102.0,103.0,0.0,1.0,0.73,0.02
uniform,250,150.0,101.0,102.0,104.0,1.0,3.0,0.82,0.02
uniform,250,150.0,101.0,102.0,102.0,1.0,1.0,0.58,0.01
uniform,250,150.0,102.0,103.0,104.0,1.0,2.0,0.64,0.01
uniform,250,150.0,99.0,100.0,100.0,1.0,1.0,0.69,0.01
uniform,250,150.0,102.0,102.0,103.0,0.0,1.0,0.66,0.02
uniform,250,150.0,101.0,102.0,103.0,1.0,2.0,0.67,0.02
uniform,250,150.0,100.0,101.0,101.0,1.0,1.0,0.59,0.01
uniform,250,150.0,105.0,107.0,107.0,2.0,2.0,0.63,0.01
uniform,500,150.0,207.0,208.0,210.0,1.0,3.0,1.35,0.04
uniform,500,150.0,198.0,199.0,201.0,1.0,3.0,1.42,0.04
uniform,500,150.0,196.0,198.0,199.0,2.0,3.0,5.78,0.09
uniform,500,150.0,201.0,202.0,204.0,1.0,3.0,2.18,0.07
uniform,500,150.0,202.0,203.0,205.0,1.0,3.0,2.31,0.07
uniform,500,150.0,204.0,205.0,206.0,1.0,2.0,2.17,0.06
uniform,500,150.0,199.0,200.0,202.0,1.0,3.0,2.26,0.07
uniform,500,150.0,204.0,206.0,207.0,2.0,3.0,2.22,0.07
uniform,500,150.0,202.0,202.0,204.0,0.0,2.0,2.89,0.08
uniform,500,150.0,204.0,206.0,207.0,2.0,3.0,2.66,0.07
uniform,500,150.0,198.0,199.0,201.0,1.0,3.0,3.45,0.08
uniform,500,150.0,200.0,201.0,203.0,1.0,3.0,2.11,0.06
uniform,500,150.0,201.0,203.0,204.0,2.0,3.0,2.48,0.06
uniform,500,150.0,200.0,201.0,202.0,1.0,2.0,2.25,0.07
uniform,500,150.0,196.0,197.0,198.0,1.0,2.0,2.49,0.06
uniform,500,150.0,206.0,206.0,209.0,0.0,3.0,2.29,0.06
uniform,500,150.0,196.0,197.0,199.0,1.0,3.0,2.88,0.1
uniform,500,150.0,202.0,203.0,205.0,1.0,3.0,3.17,0.08
uniform,500,150.0,206.0,207.0,207.0,1.0,1.0,3.5,0.1
uniform,500,150.0,202.0,203.0,205.0,1.0,3.0,2.18,0.06
uniform,1000,150.0,399.0,401.0,404.0,2.0,5.0,5.1,0.21
uniform,1000,150.0,399.0,402.0,404.0,3.0,5.0,7.85,0.81
uniform,1000,150.0,394.0,396.0,400.0,2.0,6.0,13.34,0.35
uniform,1000,150.0,395.0,396.0,399.0,1.0,4.0,12.38,0.25
uniform,1000,150.0,393.0,395.0,398.0,2.0,5.0,7.92,0.24
uniform,1000,150.0,411.0,414.0,416.0,3.0,5.0,8.2,0.25
uniform,1000,150.0,411.0,412.0,416.0,1.0,5.0,11.08,0.34
uniform,1000,150.0,404.0,406.0,409.0,2.0,5.0,8.62,0.25
uniform,1000,150.0,396.0,398.0,401.0,2.0,5.0,7.98,0.24
uniform,1000,150.0,399.0,400.0,403.0,1.0,4.0,7.91,0.27
uniform,1000,150.0,404.0,406.0,407.0,2.0,3.0,7.82,0.25
uniform,1000,150.0,400.0,403.0,406.0,3.0,6.0,10.37,0.28
uniform,1000,150.0,399.0,401.0,403.0,2.0,4.0,11.42,0.27
uniform,1000,150.0,406.0,408.0,411.0,2.0,5.0,8.45,0.27
uniform,1000,150.0,397.0,399.0,402.0,2.0,5.0,10.54,0.32
uniform,1000,150.0,401.0,403.0,405.0,2.0,4.0,10.39,0.29
uniform,1000,150.0,400.0,401.0,404.0,1.0,4.0,11.36,0.28
uniform,1000,150.0,397.0,400.0,404.0,3.0,7.0,7.91,0.23
uniform,1000,150.0,404.0,406.0,408.0,2.0,4.0,8.17,0.23
uniform,1000,150.0,402.0,405.0,408.0,3.0,6.0,7.74,0.24
